url,timestamp,profile,aci_score,aci_normalized,metrics_evaluated,metrics_na
https://www.seg-social.es/wps/portal/wss/internet/Inicio; Institucional,1779620907,wcag_strict,3.494,0.6987,16,7
https://sede.agenciatributaria.gob.es/; Institucional,1779620938,wcag_strict,3.704,0.7407,16,7
https://www.educacionfpydeportes.gob.es/portada.html; Institucional,1779620944,wcag_strict,3.738,0.7475,16,7
https://www.sanidad.gob.es/; Institucional,1779620950,wcag_strict,3.826,0.7653,16,7
https://web.ub.edu/; Educatiu,1779620957,wcag_strict,3.83,0.7661,16,7
https://www.uab.cat/; Educatiu,1779620958,wcag_strict,3.558,0.7117,16,7
https://www.uv.es/; Educatiu,1779620960,wcag_strict,3.678,0.7356,16,7
https://www.upc.edu/ca; Educatiu,1779620967,wcag_strict,3.517,0.7034,16,6
https://www.ucm.es/; Educatiu,1779620968,wcag_strict,3.678,0.7356,16,7
https://www.upf.edu/; Educatiu,1779620972,wcag_strict,3.48,0.696,16,7
https://www.uoc.edu/ca; Educatiu,1779620977,wcag_strict,3.342,0.6684,16,7
https://www.url.edu/ca; Educatiu,1779620980,wcag_strict,3.544,0.7089,16,7
https://www.unav.edu/; Educatiu,1779620988,wcag_strict,3.184,0.6368,16,6
https://web.gencat.cat/ca/ciutadania/inici; Institucional,1779620992,wcag_strict,3.627,0.7254,16,7
https://educacio.gencat.cat/ca/inici; Institucional,1779621002,wcag_strict,3.517,0.7034,16,6
https://catsalut.gencat.cat/ca/inici/; Institucional,1779621008,wcag_strict,3.521,0.7042,16,6
https://www.meteo.cat/; Institucional,1779621014,wcag_strict,3.518,0.7036,16,7
https://serveiocupacio.gencat.cat/ca/inici; Institucional,1779621021,wcag_strict,3.546,0.7092,16,6
https://www.diba.cat/ca/inici; Institucional,1779621037,wcag_strict,3.676,0.7352,16,7
https://www.tnc.cat/ca; Cultural,1779621041,wcag_strict,3.844,0.7688,16,7
https://www.museunacional.cat/ca; Cultural,1779621048,wcag_strict,3.531,0.7061,16,7
https://sagradafamilia.org/; Cultural,1779621055,wcag_strict,3.413,0.6825,16,7
https://www.liceubarcelona.cat/ca; Cultural,1779621061,wcag_strict,3.435,0.6869,16,7
https://www.palaumusica.cat/ca/; Cultural,1779621066,wcag_strict,3.885,0.777,16,7
https://www.3cat.cat/3cat/; Mitjans,1779621076,wcag_strict,3.551,0.7102,16,7
https://www.rtve.es/; Mitjans,1779621081,wcag_strict,3.415,0.683,16,6
https://www.ara.cat/; Mitjans,1779621084,wcag_strict,3.5,0.7,16,7
https://www.rac1.cat/; Mitjans,1779621086,wcag_strict,3.659,0.7319,16,7
https://terrassadigital.cat/; Mitjans,1779621091,wcag_strict,3.604,0.7209,16,6
https://www.lavanguardia.com/; Mitjans,1779621094,wcag_strict,3.788,0.7577,16,6
https://www.compraonline.bonpreuesclat.cat/; Comercial,1779621098,wcag_strict,3.606,0.7211,16,6
https://www.capraboacasa.com/ca/; Comercial,1779621106,wcag_strict,3.682,0.7364,16,6
https://es.wallapop.com/; Comercial,1779621107,wcag_strict,3.678,0.7356,16,7
https://www.promofarma.com/; Comercial,1779621111,wcag_strict,3.044,0.6087,16,6
https://www.fcbarcelona.cat/ca/; Comercial,1779621142,wcag_strict,3.624,0.7248,16,7
https://www.rcdespanyol.com/; Comercial,1779621146,wcag_strict,3.575,0.7149,16,6
